season,lg,team,abbreviation,playoffs,g,mp,fg_per_100_poss,fga_per_100_poss,fg_percent,x3p_per_100_poss,x3pa_per_100_poss,x3p_percent,x2p_per_100_poss,x2pa_per_100_poss,x2p_percent,ft_per_100_poss,fta_per_100_poss,ft_percent,orb_per_100_poss,drb_per_100_poss,trb_per_100_poss,ast_per_100_poss,stl_per_100_poss,blk_per_100_poss,tov_per_100_poss,pf_per_100_poss,pts_per_100_poss
2024,NBA,Atlanta Hawks,ATL,False,82,19855,42.6,91.6,0.465,13.6,37.3,0.364,29.0,54.3,0.535,18.4,23.0,0.797,12.4,31.9,44.2,26.3,7.4,4.5,13.4,18.4,117.2
2024,NBA,Boston Celtics,BOS,True,82,19830,44.9,92.1,0.487,16.8,43.4,0.388,28.0,48.8,0.575,16.6,20.6,0.807,10.9,36.4,47.3,27.5,6.9,6.7,12.2,16.5,123.2
2024,NBA,Brooklyn Nets,BRK,False,82,19805,41.7,91.4,0.456,13.6,37.6,0.362,28.1,53.7,0.522,16.2,21.4,0.756,11.7,33.4,45.2,26.3,7.0,5.3,13.5,19.0,113.2
2024,NBA,Chicago Bulls,CHI,False,82,19980,43.0,91.6,0.47,11.7,32.8,0.358,31.3,58.7,0.532,17.1,21.6,0.791,11.4,33.4,44.8,25.6,8.0,4.9,12.5,19.2,114.9
2024,NBA,Charlotte Hornets,CHO,False,82,19730,41.0,89.2,0.46,12.4,34.9,0.355,28.7,54.3,0.528,14.9,18.9,0.786,9.6,31.7,41.3,25.4,7.0,4.6,14.1,18.4,109.3
2024,NBA,Cleveland Cavaliers,CLE,True,82,19805,42.7,89.2,0.479,13.8,37.6,0.367,28.9,51.5,0.561,15.9,20.8,0.765,10.1,34.2,44.3,28.7,7.5,4.7,13.9,17.9,115.2
2024,NBA,Dallas Mavericks,DAL,True,82,19705,43.0,89.5,0.481,14.6,39.5,0.369,28.5,50.0,0.569,17.0,22.4,0.758,9.7,33.2,42.9,25.6,6.9,4.9,12.5,18.3,117.6
2024,NBA,Denver Nuggets,DEN,True,82,19705,45.4,91.5,0.496,12.0,32.2,0.374,33.4,59.4,0.562,15.6,20.5,0.762,11.1,34.8,45.8,30.4,7.4,5.7,13.0,18.7,118.5
2024,NBA,Detroit Pistons,DET,False,82,19755,40.8,88.1,0.463,11.0,31.7,0.348,29.8,56.4,0.528,17.0,21.7,0.785,10.5,32.8,43.3,25.4,6.5,4.7,15.2,20.6,109.7
2024,NBA,Golden State Warriors,GSW,False,82,19830,43.7,91.7,0.477,14.8,38.9,0.38,28.9,52.8,0.548,15.6,20.1,0.78,12.2,34.6,46.7,29.3,7.0,4.6,14.3,19.5,117.8
2024,NBA,Houston Rockets,HOU,False,82,19855,41.8,91.1,0.459,12.7,36.2,0.352,29.1,54.9,0.53,18.1,23.4,0.773,11.5,34.0,45.5,24.9,7.8,4.6,12.8,20.8,114.5
2024,NBA,Indiana Pacers,IND,True,82,19705,46.1,91.0,0.507,13.0,34.6,0.374,33.2,56.4,0.589,15.8,20.2,0.782,9.9,30.9,40.8,30.2,7.6,5.8,12.7,21.0,121.0
2024,NBA,Los Angeles Clippers,LAC,True,82,19705,43.5,89.0,0.489,13.0,34.1,0.381,30.5,55.0,0.555,18.8,22.8,0.825,10.3,33.8,44.1,26.3,8.0,5.2,13.5,19.0,118.8
2024,NBA,Los Angeles Lakers,LAL,True,82,19855,42.9,86.0,0.499,11.6,30.8,0.377,31.3,55.2,0.567,18.6,23.8,0.782,8.1,34.2,42.3,28.0,7.2,5.4,13.7,15.4,115.9
2024,NBA,Memphis Grizzlies,MEM,False,82,19780,38.9,89.3,0.435,13.2,38.3,0.346,25.6,51.1,0.502,16.3,21.3,0.764,11.1,32.1,43.2,25.0,8.3,6.2,15.3,19.3,107.2
2024,NBA,Miami Heat,MIA,True,82,19755,41.2,88.7,0.465,12.9,34.9,0.37,28.3,53.8,0.527,18.7,22.8,0.818,9.7,34.1,43.8,26.7,7.8,3.5,13.1,17.9,114.0
